"lesson_id","lesson_title","segment_id","segment_type","script_text_ar","script_text_support","delivery_note","target_duration_sec","repeatability","native_review_flag","export_state","planned_audio_filename","batch_id","production_status","row_kind","asset_stem","source_ref","planned_audio_asset_path"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_001","opening","","Arabic Starts Here","Short open. Calm lift on the first words, then a clean stop.","3","ONE_PASS","NOT_REQUIRED","READY","l01_ord_001_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_001","lesson.title","lesson_01/voiceover/l01_ord_001_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_002","opening","كتاب","You can find where Arabic starts on كتاب and keep one real meaning anchor attached: book.","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","7","ONE_PASS","NOT_REQUIRED","READY","l01_ord_002_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_002","lesson.outcomeSummary","lesson_01/voiceover/l01_ord_002_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_003","opening","","Enter Arabic through one supported real word by following it from right to left and linking it to one meaning anchor.","Steady overview line. Keep it calm, clear, and lightly encouraging.","7","ONE_PASS","NOT_REQUIRED","READY","l01_ord_003_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_003","objective:orient_to_real_word_anchor","lesson_01/voiceover/l01_ord_003_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_004","section_header","","Lesson Goal","Short open. Calm lift on the first words, then a clean stop.","3","ONE_PASS","NOT_REQUIRED","READY","l01_ord_004_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_004","content:goal_entry_word.title","lesson_01/voiceover/l01_ord_004_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_005","teaching_narration","","Enter Arabic through one real word. You only need to notice where Arabic starts and keep one meaning anchor attached.","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","6","ONE_PASS","NOT_REQUIRED","READY","l01_ord_005_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_005","content:goal_entry_word.body","lesson_01/voiceover/l01_ord_005_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_006","section_header","","First Arabic Anchor","Short open. Calm lift on the first words, then a clean stop.","3","ONE_PASS","NOT_REQUIRED","READY","l01_ord_006_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_006","content:input_kitab_anchor.title","lesson_01/voiceover/l01_ord_006_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_007","teaching_narration","","Use one real Arabic word to enter the script. You do not need every letter yet. Just follow the whole word from the right and connect it to book.","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","7","ONE_PASS","NOT_REQUIRED","READY","l01_ord_007_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_007","content:input_kitab_anchor.body","lesson_01/voiceover/l01_ord_007_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_008","section_header","","Beginner Support Is Allowed","Short open. Calm lift on the first words, then a clean stop.","3","ONE_PASS","NOT_REQUIRED","READY","l01_ord_008_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_008","content:support_rule_real_word.title","lesson_01/voiceover/l01_ord_008_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_009","teaching_narration","","You do not need to decode every letter yet. The whole word, audio, and meaning cue are all allowed supports for your first Arabic step.","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","7","ONE_PASS","NOT_REQUIRED","READY","l01_ord_009_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_009","content:support_rule_real_word.body","lesson_01/voiceover/l01_ord_009_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_010","section_header","","Watch The Entry Move","Short open. Calm lift on the first words, then a clean stop.","3","ONE_PASS","NOT_REQUIRED","READY","l01_ord_010_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_010","content:entry_word_contrast.title","lesson_01/voiceover/l01_ord_010_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_011","teaching_narration","","For this first step, keep two things together: start on the right, and let the whole word already mean book.","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","6","ONE_PASS","NOT_REQUIRED","READY","l01_ord_011_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_011","content:entry_word_contrast.body","lesson_01/voiceover/l01_ord_011_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_012","instruction_prompt","كتاب","Hear the word, then tap كتاب.","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","5","REPEATABLE","NOT_REQUIRED","READY","l01_ord_012_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_012","practice:hear_kitab_anchor.prompt","lesson_01/voiceover/l01_ord_012_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_013","instruction_prompt","كتاب","On كتاب, where does reading begin?","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","5","REPEATABLE","NOT_REQUIRED","READY","l01_ord_013_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_013","practice:recognize_start_side_kitab.prompt","lesson_01/voiceover/l01_ord_013_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_014","instruction_prompt","كتاب","In this chapter entry, كتاب means...","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","5","REPEATABLE","NOT_REQUIRED","READY","l01_ord_014_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_014","practice:recognize_kitab_meaning.prompt","lesson_01/voiceover/l01_ord_014_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_015","instruction_prompt","كتاب","Without the guide, type the side where reading begins on كتاب.","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","6","REPEATABLE","NOT_REQUIRED","READY","l01_ord_015_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_015","practice:recall_start_side_kitab.prompt","lesson_01/voiceover/l01_ord_015_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_016","instruction_prompt","كتاب","The English hint is gone. Type the meaning anchor for كتاب.","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","6","REPEATABLE","NOT_REQUIRED","READY","l01_ord_016_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_016","practice:recall_kitab_meaning.prompt","lesson_01/voiceover/l01_ord_016_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_017","instruction_prompt","","Build the pair you will carry into the next lesson.","Instructional prompt. Keep the action verb crisp and allow a short answer pause at the end.","5","REPEATABLE","NOT_REQUIRED","READY","l01_ord_017_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l01_ord_017","practice:build_kitab_pair.prompt","lesson_01/voiceover/l01_ord_017_normal.mp3"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_AR_001","word","كتاب","display=كتاب ; transliteration=kitab ; meaning=book","Single Arabic word. Neutral model, one clean pronunciation, no extra sentence melody.","3","REPEATABLE","NOT_REQUIRED","READY","l01_ar_001_normal.mp3","BATCH_A","RECORDING_READY","ARABIC_ASSET","l01_ar_001","content:input_kitab_anchor","lesson_01/voiceover/l01_ar_001_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_001","opening","","First Real Word Success","Short open. Calm lift on the first words, then a clean stop.","3","ONE_PASS","NOT_REQUIRED","READY","l02_ord_001_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_001","lesson.title","lesson_02/voiceover/l02_ord_001_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_002","opening","كتاب","You can recognize and recall كتاب as the Arabic word for book. This is your first owned Arabic word.","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","7","ONE_PASS","NOT_REQUIRED","READY","l02_ord_002_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_002","lesson.outcomeSummary","lesson_02/voiceover/l02_ord_002_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_003","opening","كتاب","Recognize and recall كتاب as the Arabic word for book.","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","6","REPEATABLE","NOT_REQUIRED","READY","l02_ord_003_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_003","objective:recognize_recall_kitab_word","lesson_02/voiceover/l02_ord_003_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_004","section_header","","Lesson Goal","Short open. Calm lift on the first words, then a clean stop.","3","ONE_PASS","NOT_REQUIRED","READY","l02_ord_004_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_004","content:goal_kitab_word.title","lesson_02/voiceover/l02_ord_004_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_005","teaching_narration","","Learn one real Arabic word well enough to hear it, spot it, and bring it back from memory.","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","6","ONE_PASS","NOT_REQUIRED","READY","l02_ord_005_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_005","content:goal_kitab_word.body","lesson_02/voiceover/l02_ord_005_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_006","section_header","","Whole Word First","Short open. Calm lift on the first words, then a clean stop.","3","ONE_PASS","NOT_REQUIRED","READY","l02_ord_006_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_006","content:input_kitab_word.title","lesson_02/voiceover/l02_ord_006_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_007","teaching_narration","كتاب","Meet كتاب as one meaningful Arabic word. Let the whole shape, sound, and meaning stay together.","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","6","ONE_PASS","NOT_REQUIRED","READY","l02_ord_007_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_007","content:input_kitab_word.body","lesson_02/voiceover/l02_ord_007_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_008","section_header","","Whole Word Support","Short open. Calm lift on the first words, then a clean stop.","3","ONE_PASS","NOT_REQUIRED","READY","l02_ord_008_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_008","content:support_note_whole_word.title","lesson_02/voiceover/l02_ord_008_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_009","teaching_narration","","You do not need to study every letter in isolation first. For this lesson, the whole word is the learning unit.","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","6","ONE_PASS","NOT_REQUIRED","READY","l02_ord_009_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_009","content:support_note_whole_word.body","lesson_02/voiceover/l02_ord_009_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_010","section_header","","See The Whole Shape","Short open. Calm lift on the first words, then a clean stop.","3","ONE_PASS","NOT_REQUIRED","READY","l02_ord_010_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_010","content:contrast_real_words.title","lesson_02/voiceover/l02_ord_010_normal.mp3"
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_011","teaching_narration","كتاب","Use contrast at the whole-word level. You are learning كتاب as book, not memorizing isolated letters.","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","6","ONE_PASS","NOT_REQUIRED","READY","l02_ord_011_normal.mp3","BATCH_A","RECORDING_READY","NARRATION_SEGMENT","l02_ord_011","content:contrast_real_words.body","lesson_02/voiceover/l02_ord_011_normal.mp3"
