"lesson_id","lesson_title","segment_id","segment_type","approved_audio_filename","planned_audio_filename","batch_id","qc_status","import_status","target_asset_path","script_text_ar","script_text_support","target_duration_sec","delivery_note","final_resolution","notes"
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_001","opening","","l01_ord_001_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_001_normal.mp3","","Arabic Starts Here","3","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_002","opening","","l01_ord_002_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_002_normal.mp3","كتاب","You can find where Arabic starts on كتاب and keep one real meaning anchor attached: book.","7","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_003","opening","","l01_ord_003_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_003_normal.mp3","","Enter Arabic through one supported real word by following it from right to left and linking it to one meaning anchor.","7","Steady overview line. Keep it calm, clear, and lightly encouraging.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_004","section_header","","l01_ord_004_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_004_normal.mp3","","Lesson Goal","3","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_005","teaching_narration","","l01_ord_005_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_005_normal.mp3","","Enter Arabic through one real word. You only need to notice where Arabic starts and keep one meaning anchor attached.","6","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_006","section_header","","l01_ord_006_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_006_normal.mp3","","First Arabic Anchor","3","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_007","teaching_narration","","l01_ord_007_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_007_normal.mp3","","Use one real Arabic word to enter the script. You do not need every letter yet. Just follow the whole word from the right and connect it to book.","7","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_008","section_header","","l01_ord_008_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_008_normal.mp3","","Beginner Support Is Allowed","3","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_009","teaching_narration","","l01_ord_009_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_009_normal.mp3","","You do not need to decode every letter yet. The whole word, audio, and meaning cue are all allowed supports for your first Arabic step.","7","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_010","section_header","","l01_ord_010_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_010_normal.mp3","","Watch The Entry Move","3","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_011","teaching_narration","","l01_ord_011_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_011_normal.mp3","","For this first step, keep two things together: start on the right, and let the whole word already mean book.","6","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_012","instruction_prompt","","l01_ord_012_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_012_normal.mp3","كتاب","Hear the word, then tap كتاب.","5","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_013","instruction_prompt","","l01_ord_013_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_013_normal.mp3","كتاب","On كتاب, where does reading begin?","5","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_014","instruction_prompt","","l01_ord_014_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_014_normal.mp3","كتاب","In this chapter entry, كتاب means...","5","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_015","instruction_prompt","","l01_ord_015_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_015_normal.mp3","كتاب","Without the guide, type the side where reading begins on كتاب.","6","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_016","instruction_prompt","","l01_ord_016_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_016_normal.mp3","كتاب","The English hint is gone. Type the meaning anchor for كتاب.","6","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_SEG_017","instruction_prompt","","l01_ord_017_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ord_017_normal.mp3","","Build the pair you will carry into the next lesson.","5","Instructional prompt. Keep the action verb crisp and allow a short answer pause at the end.","READY_FOR_IMPORT",""
"V2-A1-01-PREVIEW","Arabic Starts Here","L01_AR_001","word","","l01_ar_001_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_01/voiceover/l01_ar_001_normal.mp3","كتاب","display=كتاب ; transliteration=kitab ; meaning=book","3","Single Arabic word. Neutral model, one clean pronunciation, no extra sentence melody.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_001","opening","","l02_ord_001_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_001_normal.mp3","","First Real Word Success","3","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_002","opening","","l02_ord_002_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_002_normal.mp3","كتاب","You can recognize and recall كتاب as the Arabic word for book. This is your first owned Arabic word.","7","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_003","opening","","l02_ord_003_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_003_normal.mp3","كتاب","Recognize and recall كتاب as the Arabic word for book.","6","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_004","section_header","","l02_ord_004_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_004_normal.mp3","","Lesson Goal","3","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_005","teaching_narration","","l02_ord_005_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_005_normal.mp3","","Learn one real Arabic word well enough to hear it, spot it, and bring it back from memory.","6","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_006","section_header","","l02_ord_006_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_006_normal.mp3","","Whole Word First","3","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_007","teaching_narration","","l02_ord_007_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_007_normal.mp3","كتاب","Meet كتاب as one meaningful Arabic word. Let the whole shape, sound, and meaning stay together.","6","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_008","section_header","","l02_ord_008_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_008_normal.mp3","","Whole Word Support","3","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_009","teaching_narration","","l02_ord_009_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_009_normal.mp3","","You do not need to study every letter in isolation first. For this lesson, the whole word is the learning unit.","6","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_010","section_header","","l02_ord_010_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_010_normal.mp3","","See The Whole Shape","3","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_011","teaching_narration","","l02_ord_011_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_011_normal.mp3","كتاب","Use contrast at the whole-word level. You are learning كتاب as book, not memorizing isolated letters.","6","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_012","instruction_prompt","","l02_ord_012_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_012_normal.mp3","كتاب","Hear the word, then tap كتاب.","5","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_013","instruction_prompt","","l02_ord_013_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_013_normal.mp3","كتاب","What does كتاب mean?","5","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_014","instruction_prompt","","l02_ord_014_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_014_normal.mp3","كتاب","Which whole-word shape is كتاب?","5","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_015","instruction_prompt","","l02_ord_015_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_015_normal.mp3","","The English prompt is all you get now. Type the Arabic word for book.","6","Instructional prompt. Keep the action verb crisp and allow a short answer pause at the end.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_016","instruction_prompt","","l02_ord_016_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_016_normal.mp3","كتاب","Look at كتاب. Type its meaning.","5","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_017","instruction_prompt","","l02_ord_017_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ord_017_normal.mp3","كتاب","See كتاب, then say kitab once.","5","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_AR_001","word","","l02_ar_001_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ar_001_normal.mp3","كتاب","display=كتاب ; transliteration=kitab ; meaning=book","3","Single Arabic word. Neutral model, one clean pronunciation, no extra sentence melody.","READY_FOR_IMPORT",""
"V2-A1-02-PREVIEW","First Real Word Success","L02_AR_002","list","","l02_ar_002_normal.mp3","BATCH_A","QC_PASS","READY_FOR_IMPORT","lesson_02/voiceover/l02_ar_002_normal.mp3","كتاب / باب / قلم","display=كتاب / باب / قلم","5","Arabic list, not a sentence. Give each item its own beat and keep the order clean.","READY_FOR_IMPORT",""
"lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_001","opening","","l05_ord_001_normal.mp3","BATCH_B","QC_PASS","READY_FOR_IMPORT","lesson_05/voiceover/l05_ord_001_normal.mp3","قلم","One More Real Word: قلم","4","Short open. Calm lift on the first words, then a clean stop.","READY_FOR_IMPORT",""
"lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_002","opening","","l05_ord_002_normal.mp3","BATCH_B","QC_PASS","READY_FOR_IMPORT","lesson_05/voiceover/l05_ord_002_normal.mp3","قلم","After this lesson, you can recognize, hear, recall, and say قلم for pen.","7","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","READY_FOR_IMPORT",""
"lesson_05_qalam_first_real_word_extension","One More Real Word: قلم","L05_SEG_003","opening","","l05_ord_003_normal.mp3","BATCH_B","QC_PASS","READY_FOR_IMPORT","lesson_05/voiceover/l05_ord_003_normal.mp3","قلم","Recognize and recall قلم as the Arabic word for pen.","6","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","READY_FOR_IMPORT",""
