"batch_id","lesson_number","lesson_id","lesson_title","segment_id","segment_type","row_kind","planned_audio_filename","planned_audio_asset_path","target_duration_sec","repeatability","workflow_status","delivery_note","spoken_script","script_text_ar","script_text_support","recorder_notes","qc_notes"
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_001","opening","NARRATION_SEGMENT","l06_ord_001_normal.mp3","lesson_06/voiceover/l06_ord_001_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","This Is... Your First Fixed Expression","","This Is... Your First Fixed Expression","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_002","opening","NARRATION_SEGMENT","l06_ord_002_normal.mp3","lesson_06/voiceover/l06_ord_002_normal.mp3","7","ONE_PASS","TO_RECORD","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","After this lesson, you can understand, build, and say هذا كتاب and هذا قلم.","هذا كتاب هذا قلم","After this lesson, you can understand, build, and say هذا كتاب and هذا قلم.","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_003","opening","NARRATION_SEGMENT","l06_ord_003_normal.mp3","lesson_06/voiceover/l06_ord_003_normal.mp3","6","REPEATABLE","TO_RECORD","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","Understand, build, and recall one fixed هذا + noun expression frame.","هذا","Understand, build, and recall one fixed هذا + noun expression frame.","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_004","section_header","NARRATION_SEGMENT","l06_ord_004_normal.mp3","lesson_06/voiceover/l06_ord_004_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Lesson Goal","","Lesson Goal","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_005","teaching_narration","NARRATION_SEGMENT","l06_ord_005_normal.mp3","lesson_06/voiceover/l06_ord_005_normal.mp3","5","REPEATABLE","TO_RECORD","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","Turn known words into your first tiny Arabic line: هذا + noun.","هذا","Turn known words into your first tiny Arabic line: هذا + noun.","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_006","section_header","NARRATION_SEGMENT","l06_ord_006_normal.mp3","lesson_06/voiceover/l06_ord_006_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","First Short Line","","First Short Line","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_007","teaching_narration","NARRATION_SEGMENT","l06_ord_007_normal.mp3","lesson_06/voiceover/l06_ord_007_normal.mp3","6","ONE_PASS","TO_RECORD","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","Start with one useful whole line. هذا كتاب should feel like one tiny readable chunk, not a grammar lecture.","هذا كتاب","Start with one useful whole line. هذا كتاب should feel like one tiny readable chunk, not a grammar lecture.","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_008","section_header","NARRATION_SEGMENT","l06_ord_008_normal.mp3","lesson_06/voiceover/l06_ord_008_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Reuse The New Word","","Reuse The New Word","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_009","teaching_narration","NARRATION_SEGMENT","l06_ord_009_normal.mp3","lesson_06/voiceover/l06_ord_009_normal.mp3","5","REPEATABLE","TO_RECORD","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","Now reuse the same frame with your new word: هذا قلم.","هذا قلم","Now reuse the same frame with your new word: هذا قلم.","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_010","section_header","NARRATION_SEGMENT","l06_ord_010_normal.mp3","lesson_06/voiceover/l06_ord_010_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","One Stable Opening","","One Stable Opening","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_011","teaching_narration","NARRATION_SEGMENT","l06_ord_011_normal.mp3","lesson_06/voiceover/l06_ord_011_normal.mp3","5","ONE_PASS","TO_RECORD","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","Keep the opening stable and let the noun change. That is the beginner win here.","","Keep the opening stable and let the noun change. That is the beginner win here.","",""
"BATCH_B","06","lesson_06_hadha_first_fixed_expression","This Is... Your First Fixed Expression","L06_SEG_012","instruction_prompt","NARRATION_SEGMENT","l06_ord_012_normal.mp3","lesson_06/voiceover/l06_ord_012_normal.mp3","5","REPEATABLE","TO_RECORD","Instructional prompt. Keep the action verb crisp, leave one clean beat before the Arabic, and allow answer space at the end.","What does هذا كتاب mean?","هذا كتاب","What does هذا كتاب mean?","",""
