"batch_id","lesson_number","lesson_id","lesson_title","segment_id","segment_type","row_kind","planned_audio_filename","planned_audio_asset_path","target_duration_sec","repeatability","workflow_status","delivery_note","spoken_script","script_text_ar","script_text_support","recorder_notes","qc_notes"
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_001","opening","NARRATION_SEGMENT","l02_ord_001_normal.mp3","lesson_02/voiceover/l02_ord_001_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","First Real Word Success","","First Real Word Success","",""
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_002","opening","NARRATION_SEGMENT","l02_ord_002_normal.mp3","lesson_02/voiceover/l02_ord_002_normal.mp3","7","ONE_PASS","TO_RECORD","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","You can recognize and recall كتاب as the Arabic word for book. This is your first owned Arabic word.","كتاب","You can recognize and recall كتاب as the Arabic word for book. This is your first owned Arabic word.","",""
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_003","opening","NARRATION_SEGMENT","l02_ord_003_normal.mp3","lesson_02/voiceover/l02_ord_003_normal.mp3","6","REPEATABLE","TO_RECORD","Steady overview line. Keep the English flowing and slow slightly around Arabic inserts.","Recognize and recall كتاب as the Arabic word for book.","كتاب","Recognize and recall كتاب as the Arabic word for book.","",""
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_004","section_header","NARRATION_SEGMENT","l02_ord_004_normal.mp3","lesson_02/voiceover/l02_ord_004_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Lesson Goal","","Lesson Goal","",""
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_005","teaching_narration","NARRATION_SEGMENT","l02_ord_005_normal.mp3","lesson_02/voiceover/l02_ord_005_normal.mp3","6","ONE_PASS","TO_RECORD","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","Learn one real Arabic word well enough to hear it, spot it, and bring it back from memory.","","Learn one real Arabic word well enough to hear it, spot it, and bring it back from memory.","",""
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_006","section_header","NARRATION_SEGMENT","l02_ord_006_normal.mp3","lesson_02/voiceover/l02_ord_006_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Whole Word First","","Whole Word First","",""
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_007","teaching_narration","NARRATION_SEGMENT","l02_ord_007_normal.mp3","lesson_02/voiceover/l02_ord_007_normal.mp3","6","ONE_PASS","TO_RECORD","Teaching line. Warm and clear. Slow slightly around the Arabic and return to the base pace after it.","Meet كتاب as one meaningful Arabic word. Let the whole shape, sound, and meaning stay together.","كتاب","Meet كتاب as one meaningful Arabic word. Let the whole shape, sound, and meaning stay together.","",""
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_008","section_header","NARRATION_SEGMENT","l02_ord_008_normal.mp3","lesson_02/voiceover/l02_ord_008_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","Whole Word Support","","Whole Word Support","",""
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_009","teaching_narration","NARRATION_SEGMENT","l02_ord_009_normal.mp3","lesson_02/voiceover/l02_ord_009_normal.mp3","6","ONE_PASS","TO_RECORD","Teaching line. Warm, calm, and conversational with one clear sentence boundary.","You do not need to study every letter in isolation first. For this lesson, the whole word is the learning unit.","","You do not need to study every letter in isolation first. For this lesson, the whole word is the learning unit.","",""
"BATCH_A","02","V2-A1-02-PREVIEW","First Real Word Success","L02_SEG_010","section_header","NARRATION_SEGMENT","l02_ord_010_normal.mp3","lesson_02/voiceover/l02_ord_010_normal.mp3","3","ONE_PASS","TO_RECORD","Short open. Calm lift on the first words, then a clean stop.","See The Whole Shape","","See The Whole Shape","",""
